,Ant,Node,A Priori Status,Auto Metrics Flags,Dead Fraction in Ant Metrics (Jee),Dead Fraction in Ant Metrics (Jnn),Crossed Fraction in Ant Metrics,Flag Fraction Before Redcal,Flagged By Redcal $\chi^2$ Fraction,ee Shape Modified Z-Score,nn Shape Modified Z-Score,ee Power Modified Z-Score,nn Power Modified Z-Score,ee Temporal Variability Modified Z-Score,nn Temporal Variability Modified Z-Score,ee Temporal Discontinuties Modified Z-Score,nn Temporal Discontinuties Modified Z-Score,Average Dead Ant Metric (Jee),Average Dead Ant Metric (Jnn),Average Crossed Ant Metric,Median $\chi^2$ Per Antenna (Jee),Median $\chi^2$ Per Antenna (Jnn)
28,73,5,digital_ok,1.0,0.0,0.0,0.0,0.0,0.0,1.2823396033971601,0.23678331001727157,0.9516193711913032,1.5006724281482966,2.677131924420649,0.01730366149468946,11.629903084982361,0.48573379642709646,0.7891341318416788,0.7453916203933099,0.403649612428228,0.8254258781671524,0.7504770904779434
29,75,5,RF_maintenance,1.0,0.0,0.04833512352309345,0.0,1.0,0.0,5.1569622259167,41.04625110636369,-0.3936281971609788,13.055688039673083,1.0704381978409807,16.89210825077085,0.45855524113597496,1.5038082948158273,0.7864219006792438,0.521545120862291,0.4365560586991533,2.8509151935577393,2.4242255687713623
30,81,7,RF_maintenance,1.0,0.2749731471535983,0.0,0.0,1.0,0.0,15.921125845464676,1.5796172534439392,15.570037952301872,1.8568482216084126,18.877134520972437,10.919968993842277,3.70869450259072,5.846252458214744,0.5020208491876543,0.7312750160794724,0.5488413109530913,1.4829687774181366,2.413952350616455
31,82,7,RF_ok,1.0,0.0,0.0,0.0,0.0,0.0,0.22382417895379367,0.5150448312395779,0.8893708852046595,7.351494594197847,4.247107784476294,2.685063715029816,0.7761098687250957,4.587564125621281,0.7922381636095812,0.7231064332592492,0.40865325183970824,1.2275270819664001,1.023981511592865
32,83,7,RF_ok,0.0,0.0,0.0,0.0,0.0,0.0,1.036243399549191,0.09781623451077337,1.7229335885942947,-0.1897770152937793,-0.4171609041675542,-0.016314925846975296,-1.7584579677592505,-1.1490966046633098,0.8069103791096891,0.756420245547856,0.392689362911418,1.1908558309078217,1.0325998067855835
33,84,8,RF_maintenance,1.0,1.0,1.0,0.0,1.0,0.0,36.198851262466945,40.43532339898736,17.489964989648353,18.437661303268424,28.25880899520306,35.93657433729842,9.607482757828448,9.407034142648907,0.026352847469269563,0.02532416534977719,0.0011544924994016837,1.13979172706604,1.1359611451625824
34,85,8,digital_ok,0.0,0.0,0.0,0.0,0.0,0.0,0.7041950904714556,-0.35414047894846357,0.31417300837024364,-0.9656197059292162,0.37098793931571494,-1.697725086129561,-0.3228435259815165,-0.7831234607980303,0.8085160537274053,0.7589657993944232,0.3976858852901726,1.2593415975570679,1.102436512708664
35,86,8,RF_maintenance,1.0,0.0,0.0,0.0,1.0,0.0,1.6715578780371838,1.922054801403652,0.1514585348179417,-1.0929769702033152,11.089750630999381,0.08861285534253481,2.4365357738747857,15.504117314383638,0.8034572766089126,0.752701830200886,0.3987945784140766,2.5999354124069214,2.2660316228866577
36,87,8,RF_ok,1.0,0.0,0.0,1.0,1.0,0.0,1.4219587904708948,2.4330169733718847,-0.050664990990461053,-1.0706648861601267,10.275916644069172,7.653826369419982,51.08848747383315,24.534030078074935,0.41047870295578004,0.40766560910078886,-0.3046662924480883,3.0543190836906433,3.183043956756592
37,88,9,RF_ok,1.0,0.0,0.0,0.0,0.0,0.0,-0.23857684562203665,2.0692827545413253,-0.7082975013841726,-0.7382586795883516,5.125991046001611,8.76566582898148,9.72587977493084,2.7916391150824387,0.7969662595140131,0.7555358137875172,0.4021671742190121,1.045515239238739,0.952979639172554
38,89,9,RF_maintenance,1.0,0.0,0.0,0.0,1.0,0.0,2.5300522835372146,4.307943936475027,-0.8484591520436908,1.0087591572166357,-0.09458805111487145,2.431030489929765,10.659336744217962,24.318960594818005,0.792684071837191,0.7461257266969217,0.393618887075959,2.472295820713043,2.361679494380951
39,90,9,RF_ok,1.0,0.0,0.0,0.0,0.0,0.0,0.7813867706487743,2.5346642786711757,5.262770852720029,-0.4417219596873959,5.616914847879282,1.8507083977478225,41.29698379937205,44.50757869639929,0.7772124418585337,0.7514943693609615,0.41205843945209863,1.118225783109665,1.059081256389618
40,91,9,RF_ok,0.0,0.0,0.0,0.0,0.0,0.0,0.8685025185137648,-0.025378028200848547,1.2493356100428419,0.2148220657948069,-0.4299339813770405,-0.1815940300721529,0.21096959542769186,-1.3067571749154396,0.7830570349496976,0.7511999408435079,0.412646450081693,1.0672319531440735,0.9967449605464935
41,92,10,RF_ok,1.0,0.0,0.0,0.0,0.0,0.0,-0.7836979089556515,-0.6708943280029588,-1.098002418441303,-1.1094841794944816,-0.7478099227235063,-0.5297489764014804,10.207667291310191,0.9926113140105277,0.7829225065768619,0.7440426939460166,0.4276218703676981,1.1381693482398987,1.020242303609848
42,93,10,RF_maintenance,1.0,1.0,1.0,0.0,1.0,0.0,38.35106153279962,49.31786693419955,21.259473954051426,22.577113195091012,27.835814273368733,35.55444444090468,24.630350635424744,31.477030160771644,0.026607231868339347,0.030735242934712796,0.002966323504817345,1.259002149105072,1.309695988893509
43,94,10,RF_ok,1.0,0.0,0.0,0.0,0.0,0.0,-0.3815525266067403,0.9756067480516047,0.5210454717262387,-0.28228407352807156,0.992824602994047,4.267093082315434,3.1724732741986097,9.195681165792912,0.76759825148558,0.7196230240641246,0.452115745449595,1.2994998395442963,0.9961487054824829
44,98,7,digital_ok,0.0,0.0,0.0,0.0,0.0,0.0,2.4829639748680767,0.1544289875921234,0.19183632555492436,0.6991928168592912,0.6563291727182728,1.456915065039966,0.4589859320876673,1.2738737824619317,0.7831145985931877,0.7335580037632753,0.4212252825297499,1.223411202430725,1.1311833262443542
45,99,7,digital_ok,0.0,0.0,0.0,0.0,0.0,0.0,1.0576734682922664,0.5584717798778593,0.06709286892225821,1.1881674329527703,-1.671787314544655,3.6485036473739054,-1.1192815749609837,-0.7759307121270108,0.7947997896749184,0.7407329753391009,0.4098540270606714,1.2007403671741486,1.0950534641742706
